('Total Revenue', '94,399,000', '85,965,000', '70,697,000', '55,838,000', '40,653,000')
         410553 function calls (398801 primitive calls) in 0.974 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.019    0.019 ssl_.py:1(<module>)
        1    0.000    0.000    0.017    0.017 css_parser.py:317(__init__)
        1    0.000    0.000    0.017    0.017 url.py:1(<module>)
3681/3316    0.001    0.000    0.016    0.000 {built-in method builtins.hasattr}
  199/198    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
     1168    0.003    0.000    0.015    0.000 parser.py:385(parse_endtag)
        7    0.000    0.000    0.015    0.002 six.py:85(_import_module)
        4    0.000    0.000    0.015    0.004 six.py:117(_resolve)
        7    0.000    0.000    0.014    0.002 <frozen importlib._bootstrap>:415(spec_from_loader)
       13    0.000    0.000    0.014    0.001 six.py:190(find_spec)
        4    0.000    0.000    0.014    0.004 six.py:215(is_package)
        1    0.000    0.000    0.014    0.014 six.py:120(__getattr__)
       14    0.000    0.000    0.014    0.001 css_parser.py:1055(process_selectors)
    52/14    0.001    0.000    0.014    0.001 css_parser.py:862(parse_selectors)
     1245    0.004    0.000    0.013    0.000 element.py:1068(__init__)
      171    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      171    0.013    0.000    0.013    0.000 {built-in method marshal.loads}
      210    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
        1    0.000    0.000    0.013    0.013 client.py:1(<module>)
      210    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
     1244    0.001    0.000    0.011    0.000 _htmlparser.py:171(handle_endtag)
    21/20    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
    12877    0.011    0.000    0.011    0.000 {method 'match' of 're.Pattern' objects}
    21/20    0.011    0.001    0.011    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.011    0.011 ssl.py:4(<module>)
      346    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
