Thu Jul  8 22:17:29 2021    tmp

         135858 function calls (135689 primitive calls) in 0.733 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 ssl_.py:250(create_urllib3_context)
        1    0.000    0.000    0.001    0.001 ssl.py:482(__new__)
        1    0.000    0.000    0.001    0.001 request.py:2554(_proxy_bypass_macosx_sysconf)
     2895    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
        8    0.000    0.000    0.001    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.001    0.001 sessions.py:430(prepare_request)
     9643    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.001    0.001 sessions.py:427(__exit__)
        1    0.000    0.000    0.001    0.001 sessions.py:744(close)
        2    0.000    0.000    0.001    0.001 adapters.py:319(close)
        2    0.000    0.000    0.001    0.001 poolmanager.py:215(clear)
        2    0.000    0.000    0.001    0.001 _collections.py:92(clear)
        1    0.000    0.000    0.001    0.001 poolmanager.py:173(<lambda>)
        1    0.001    0.001    0.001    0.001 connectionpool.py:479(close)
       82    0.000    0.000    0.001    0.000 re.py:250(compile)
     7777    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     6872    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     4049    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 utils.py:169(get_netrc_auth)
     7047    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.001    0.001    0.001    0.001 models.py:838(text)
     1230    0.001    0.000    0.001    0.000 element.py:1184(is_empty_element)
        1    0.000    0.000    0.001    0.001 socket.py:936(getaddrinfo)
        1    0.001    0.001    0.001    0.001 {built-in method _socket.gethostbyname}
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1002(_find_and_load)
       78    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getaddrinfo}
     6577    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
        8    0.000    0.000    0.001    0.000 sre_parse.py:937(parse)
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     15/8    0.000    0.000    0.001    0.000 sre_parse.py:435(_parse_sub)
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:659(_load_unlocked)
     15/8    0.000    0.000    0.001    0.000 sre_parse.py:493(_parse)
     2719    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
     1681    0.000    0.000    0.001    0.000 {built-in method builtins.next}
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:849(exec_module)
        8    0.000    0.000    0.001    0.000 sre_compile.py:598(_code)
        2    0.000    0.000    0.000    0.000 cookies.py:118(extract_cookies_to_jar)
      2/1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    0.000    0.000 netrc.py:1(<module>)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1677(extract_cookies)
        1    0.000    0.000    0.000    0.000 adapters.py:255(build_response)
3193/3158    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      135    0.000    0.000    0.000    0.000 __init__.py:604(_linkage_fixer)
       94    0.000    0.000    0.000    0.000 element.py:2076(_matches)
      383    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
     1230    0.000    0.000    0.000    0.000 __init__.py:195(can_be_empty_element)
        1    0.000    0.000    0.000    0.000 models.py:310(prepare)
        1    0.000    0.000    0.000    0.000 client.py:204(parse_headers)
     2633    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     3777    0.000    0.000    0.000    0.000 element.py:1419(__bool__)
        2    0.000    0.000    0.000    0.000 request.py:2486(getproxies_environment)
     1854    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1230    0.000    0.000    0.000    0.000 __init__.py:434(set_up_substitutions)
     32/8    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.000    0.000 request.py:2649(getproxies)
      124    0.000    0.000    0.000    0.000 _collections_abc.py:848(__iter__)
        1    0.000    0.000    0.000    0.000 adapters.py:292(get_connection)
     1153    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
     1240    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     1229    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
        1    0.000    0.000    0.000    0.000 parser.py:59(parsestr)
        1    0.000    0.000    0.000    0.000 parser.py:41(parse)
      181    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:921(get_code)
        1    0.000    0.000    0.000    0.000 poolmanager.py:286(connection_from_url)
        3    0.000    0.000    0.000    0.000 url.py:330(parse_url)
     1678    0.000    0.000    0.000    0.000 element.py:1802(descendants)
     1189    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      508    0.000    0.000    0.000    0.000 __init__.py:726(handle_data)
        2    0.000    0.000    0.000    0.000 re.py:188(match)
      181    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.000    0.000 cookiejar.py:1596(make_cookies)
        1    0.000    0.000    0.000    0.000 feedparser.py:173(feed)
        1    0.000    0.000    0.000    0.000 parse.py:1103(_splitport)
        2    0.000    0.000    0.000    0.000 feedparser.py:178(_call_parse)
      112    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
        2    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
       37    0.000    0.000    0.000    0.000 enum.py:334(__call__)
        8    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
        7    0.000    0.000    0.000    0.000 structures.py:42(__init__)
        1    0.000    0.000    0.000    0.000 connection.py:226(request)
